Date,Cases,Deaths
2014-08-29,1378,694
2014-09-05,1871,1089
2014-09-08,2046,1224
2014-09-12,2081,1137
2014-09-16,2407,1296
2014-09-18,2710,1459
2014-09-22,3022,1578
2014-09-24,3280,1677
2014-09-26,3458,1830
2014-10-01,3696,1998
2014-10-03,3834,2069
2014-10-08,3924,2210
2014-10-10,4076,2316
2014-10-15,4249,2458
2014-10-17,4262,2484
2014-10-22,4665,2705
2014-10-25,4665,2705
2014-10-29,6535,2413
2014-10-31,6535,2413
2014-11-05,6525,2697
2014-11-07,6619,2766
2014-11-12,6822,2836
2014-11-14,6878,2812
2014-11-19,7069,2964
2014-11-21,7082,2963
2014-11-26,7168,3016
2014-12-01,7635,3145
2014-12-03,7635,3145
2014-12-10,7719,3177
2014-12-15,7797,3290
2014-12-17,7797,3290
2014-12-22,7830,3376
2014-12-23,7830,3376
2014-12-24,7862,3384
2014-12-26,7862,3384
2014-12-29,7977,3413
2014-12-30,7977,3413
2014-12-31,8018,3423
2015-01-02,8018,3423
2015-01-05,8115,3471
2015-01-06,8157,3496
2015-01-07,8157,3496
2015-01-08,8166,3496
2015-01-09,8263,3515
2015-01-12,8278,3515
2015-01-13,8278,3515
2015-01-14,8331,3538
2015-01-15,8362,3556
2015-01-16,8362,3556
2015-01-19,8435,3587
2015-01-20,8478,3605
2015-01-21,8478,3605
2015-01-22,8524,3636
2015-01-23,8524,3636
2015-01-26,8524,3636
2015-01-27,8622,3686
2015-01-28,8622,3686
2015-01-29,8643,3700
2015-01-30,8643,3700
2015-02-02,8668,3710
2015-02-03,8729,3739
2015-02-04,8745,3746
2015-02-05,8745,3746
2015-02-06,8745,3746
2015-02-10,8881,3826
2015-02-11,8881,3826
2015-02-12,8881,3826
2015-02-13,8931,3858
2015-02-16,9007,3900
2015-02-17,9007,3900
2015-02-18,9007,3900
2015-02-19,9096,3947
2015-02-20,9096,3947
2015-02-23,9229,4032
2015-02-25,9238,4037
2015-02-26,9265,4057
2015-02-27,9265,4057
2015-03-02,9265,4057
2015-03-04,9265,4057
2015-03-05,9249,4117
2015-03-06,9249,4117
2015-03-10,9343,4162
2015-03-11,9343,4162
2015-03-12,9343,4162
2015-03-13,9482,4241
2015-03-16,9482,4241
2015-03-17,9526,4264
2015-03-18,9526,4264
2015-03-20,9555,4283
2015-03-23,9593,4296
2015-03-24,9602,4301
2015-03-25,9602,4301
2015-03-26,9602,4301
2015-03-27,9602,4301
2015-04-07,9862,4408
2015-04-09,9862,4408
2015-04-13,9862,4408
2015-04-14,9862,4408
2015-04-15,10042,4486
2015-04-16,10042,4486
2015-04-17,10042,4486
2015-04-20,10042,4486
2015-04-21,10042,4486
2015-04-22,10212,4573
2015-04-23,10212,4573
2015-04-24,10212,4573
2015-04-27,10212,4573
2015-04-28,10322,4608
2015-04-30,10322,4608
2015-05-01,10322,4608
2015-05-04,10322,4608
2015-05-05,10507,4691
2015-05-06,10564,4716
2015-05-07,10564,4716
2015-05-08,10564,4716
2015-05-11,10604,4769
2015-05-12,10604,4769
2015-05-13,10604,4769
2015-05-14,10604,4769
2015-05-15,10604,4769
2015-05-18,10666,4806
2015-05-19,10666,4806
2015-05-20,10666,4806
2015-05-21,10666,4806
2015-05-22,10666,4806
2015-05-25,10666,4806
2015-05-26,10666,4806
2015-05-27,10666,4806
2015-05-28,10666,4806
2015-05-29,10666,4806
2015-06-01,10666,4806
2015-06-02,10666,4806
2015-06-03,10666,4806
2015-06-04,10666,4806
2015-06-05,10666,4806
2015-06-08,10666,4806
2015-06-09,10666,4806
2015-06-10,10666,4806
2015-06-11,10666,4806
2015-06-12,10666,4806
2015-06-15,10666,4806
2015-06-16,10666,4806
2015-06-17,10666,4806
2015-06-18,10666,4806
2015-06-19,10666,4806
2015-06-22,10666,4806
2015-06-23,10666,4806
2015-06-24,10666,4806
2015-06-25,10666,4806
2015-06-26,10666,4806
2015-06-29,10666,4806
2015-06-30,10666,4806
2015-07-01,10666,4806
2015-07-02,10666,4806
2015-07-03,10666,4806
2015-07-03,10666,5
2015-07-06,10666,1
2015-07-06,10666,4806
2015-07-07,10666,1
2015-07-07,10666,4806
2015-07-08,10666,1
2015-07-08,10666,4806
2015-07-09,10666,4806
2015-07-09,10666,1
2015-07-10,10666,1
2015-07-10,10666,4806
2015-07-13,10666,4806
2015-07-13,10666,1
2015-07-14,10666,2
2015-07-14,10666,4806
2015-07-15,10666,4806
2015-07-15,10666,2
2015-07-16,10666,4806
2015-07-16,10666,2
2015-07-17,10666,4806
2015-07-17,10666,2
2015-07-20,10666,4806
2015-07-20,10666,2
2015-07-21,10666,2
2015-07-21,10666,4806
2015-07-22,10666,2
2015-07-22,10666,4806
2015-07-23,10666,4806
2015-07-23,10666,2
2015-07-24,10666,2
2015-07-24,10666,4806
2015-07-27,10666,4806
2015-07-27,10666,2
2015-07-28,10666,4806
2015-07-28,10666,2
2015-07-29,10666,4806
2015-07-29,10666,2
2015-07-30,10666,2
2015-07-30,10666,4806
2015-07-31,10666,2
2015-07-31,10666,4806
2015-08-03,10666,2
2015-08-03,10666,4806
2015-08-04,10666,4806
2015-08-04,10666,2
2015-08-05,10666,4806
2015-08-05,10666,2
2015-08-06,10666,4806
2015-08-06,10666,2
2015-08-07,10666,2
2015-08-07,10666,4806
2015-08-10,10666,2
2015-08-10,10666,4806
2015-08-11,10666,2
2015-08-11,10666,4806
2015-08-12,10666,2
2015-08-12,10666,4806
2015-08-13,10666,2
2015-08-13,10666,4806
2015-08-14,10666,2
2015-08-14,10666,4806
2015-08-17,10666,2
2015-08-17,10666,4806
2015-08-18,10666,4806
2015-08-18,10666,2
2015-08-19,10666,2
2015-08-19,10666,4806
2015-08-20,10666,4806
2015-08-20,10666,2
2015-08-21,10666,2
2015-08-21,10666,4806
2015-08-24,10666,2
2015-08-24,10666,4806
2015-08-25,10666,4806
2015-08-25,10666,2
2015-08-26,10666,2
2015-08-26,10666,4806
2015-08-27,10666,2
2015-08-27,10666,4806
2015-08-28,10666,4806
2015-08-28,10666,2
2015-08-31,10666,2
2015-08-31,10666,4806
2015-09-01,10666,4806
2015-09-01,10666,2
2015-09-02,10666,4806
2015-09-02,10666,2
2015-09-03,10666,4806
2015-09-03,10666,2
2015-09-04,10666,4806
2015-09-04,10666,2
2015-09-07,10666,2
2015-09-07,10666,4806
2015-09-08,10666,2
2015-09-08,10666,4806
2015-09-09,10666,4806
2015-09-09,10666,2
2015-09-10,10666,2
2015-09-10,10666,4806
2015-09-11,10666,4806
2015-09-11,10666,2
2015-09-14,10666,2
2015-09-14,10666,4806
2015-09-15,10666,4806
2015-09-15,10666,2
2015-09-16,10666,4806
2015-09-16,10666,2
2015-09-17,10666,2
2015-09-17,10666,4806
2015-09-18,10666,2
2015-09-18,10666,4806
2015-09-21,10666,4806
2015-09-21,10666,2
2015-09-22,10666,2
2015-09-22,10666,4806
2015-09-23,10666,2
2015-09-23,10666,4806
2015-09-24,10666,2
2015-09-24,10666,4806
2015-09-25,10666,4806
2015-09-25,10666,2
2015-09-28,10666,4806
2015-09-28,10666,2
2015-09-29,10666,2
2015-09-29,10666,4806
2015-09-30,10666,4806
2015-09-30,10666,2
2015-10-01,10666,4806
2015-10-01,10666,2
2015-10-02,10666,4806
2015-10-02,10666,2
2015-10-05,10666,4806
2015-10-05,10666,2
2015-10-06,10666,2
2015-10-06,10666,4806
2015-10-07,10666,2
2015-10-07,10666,4806
2015-10-08,10666,2
2015-10-08,10666,4806
2015-10-09,10666,2
2015-10-09,10666,4806
2015-10-13,10666,4806
2015-10-13,10666,2
2015-10-15,10666,4806
2015-10-15,10666,2
2015-10-16,10666,4806
2015-10-16,10666,2
2015-10-20,10666,2
2015-10-20,10666,4806
2015-10-22,10666,2
2015-10-22,10666,4806
2015-10-23,10666,4806
2015-10-23,10666,2
2015-10-26,10666,4806
2015-10-26,10666,2
2015-10-27,10666,2
2015-10-27,10666,4806
2015-10-29,10666,2
2015-10-29,10666,4806
2015-10-30,10666,4806
2015-10-30,10666,2
2015-11-03,10666,2
2015-11-03,10666,4806
2015-11-05,10666,2
2015-11-05,10666,4806
2015-11-06,10666,4806
2015-11-06,10666,2
2015-11-10,10666,4806
2015-11-10,10666,2
2015-11-11,10666,4806
2015-11-11,10666,2
2015-11-12,10666,4806
2015-11-12,10666,2
2015-11-16,10666,2
2015-11-16,10666,4806
2015-11-17,10666,2
2015-11-17,10666,4806
2015-11-20,10666,4806
2015-11-20,10666,2
2015-11-24,10666,2
2015-11-24,10666,4806
2015-11-26,10666,2
2015-11-26,10666,4806
2015-12-01,10666,2
2015-12-01,10666,4806
2015-12-02,10666,4806
2015-12-02,10666,3
2015-12-03,10666,4806
2015-12-03,10666,3
2015-12-09,10666,4806
2015-12-09,10666,3
2015-12-10,10666,3
2015-12-10,10666,4806
2015-12-11,10666,3
2015-12-11,10666,4806
2015-12-15,10666,3
2015-12-15,10666,4806
2015-12-16,10666,4806
2015-12-16,10666,3
2015-12-17,10666,3
2015-12-17,10666,4806
2015-12-22,10666,3
2015-12-22,10666,4806
2015-12-23,10666,4806
2015-12-23,10666,3
2015-12-29,10666,4806
2015-12-29,10666,3
2016-03-23,10666,3
2016-03-23,10666,4806
2016-03-23,10666,4
