Date,Cases,Deaths
2014-08-29,1026,422
2014-09-05,1261,491
2014-09-08,1361,509
2014-09-12,1424,524
2014-09-16,1620,562
2014-09-18,1673,562
2014-09-22,1813,593
2014-09-24,1940,597
2014-09-26,2021,605
2014-10-01,2304,622
2014-10-03,2437,623
2014-10-08,2789,879
2014-10-10,2950,930
2014-10-15,3252,1183
2014-10-17,3410,1200
2014-10-22,3706,1259
2014-10-25,3896,1281
2014-10-29,5235,1500
2014-10-31,5338,1510
2014-11-05,4759,1070
2014-11-07,4862,1130
2014-11-12,5368,1169
2014-11-14,5586,1187
2014-11-19,6073,1250
2014-11-21,6190,1267
2014-11-26,6599,1398
2014-12-01,7109,1530
2014-12-03,7312,1583
2014-12-10,7897,1768
2014-12-15,8273,2033
2014-12-17,8356,2085
2014-12-22,8939,2556
2014-12-23,9004,2582
2014-12-24,9004,2582
2014-12-26,9203,2655
2014-12-29,9409,2732
2014-12-30,9446,2758
2014-12-31,9446,2758
2015-01-02,9633,2827
2015-01-05,9772,2915
2015-01-06,9780,2943
2015-01-07,9780,2943
2015-01-08,10030,2977
2015-01-09,10030,2977
2015-01-12,10094,3049
2015-01-13,10094,3049
2015-01-14,10124,3062
2015-01-15,10150,3067
2015-01-16,10186,3083
2015-01-19,10306,3132
2015-01-20,10340,3145
2015-01-21,10340,3145
2015-01-22,10362,3153
2015-01-23,10400,3159
2015-01-26,10491,3195
2015-01-27,10518,3199
2015-01-28,10518,3199
2015-01-29,10537,3207
2015-01-30,10561,3216
2015-02-02,10707,3274
2015-02-03,10740,3276
2015-02-04,10740,3276
2015-02-05,10756,3286
2015-02-06,10792,3301
2015-02-10,10934,3341
2015-02-11,10934,3341
2015-02-12,10954,3350
2015-02-13,10987,3363
2015-02-16,11074,3401
2015-02-17,11103,3408
2015-02-18,11103,3408
2015-02-19,11155,3423
2015-02-20,11155,3423
2015-02-23,11155,3423
2015-02-25,11301,3461
2015-02-26,11341,3479
2015-02-27,11370,3490
2015-03-02,11443,3530
2015-03-04,11443,3530
2015-03-05,11497,3565
2015-03-06,11517,3576
2015-03-10,11619,3629
2015-03-11,11619,3629
2015-03-12,11677,3655
2015-03-13,11696,3663
2015-03-16,11742,3687
2015-03-17,11751,3691
2015-03-18,11751,3691
2015-03-20,11794,3712
2015-03-23,11829,3742
2015-03-24,11841,3747
2015-03-25,11841,3747
2015-03-26,11866,3764
2015-03-27,11889,3773
2015-04-07,12139,3832
2015-04-09,12155,3841
2015-04-13,12188,3854
2015-04-14,12201,3857
2015-04-15,12201,3857
2015-04-16,12223,3865
2015-04-17,12244,3865
2015-04-20,12256,3872
2015-04-21,12265,3877
2015-04-22,12267,3877
2015-04-23,12294,3885
2015-04-24,12313,3886
2015-04-27,12362,3895
2015-04-28,12371,3899
2015-04-30,12387,3901
2015-05-01,12398,3901
2015-05-04,12426,3902
2015-05-05,12440,3903
2015-05-06,12440,3903
2015-05-07,12470,3904
2015-05-08,12492,3904
2015-05-11,12519,3904
2015-05-12,12523,3904
2015-05-13,12519,3904
2015-05-14,12536,3904
2015-05-15,12540,3904
2015-05-18,12593,3906
2015-05-19,12632,3907
2015-05-20,12632,3907
2015-05-21,12656,3907
2015-05-22,12666,3907
2015-05-25,12696,3908
2015-05-26,12706,3908
2015-05-27,12706,3908
2015-05-28,12735,3911
